list_name,member_id,party,cname,chair
"Afolami, Bim",4639,Conservative,Public Accounts Committee,
"Ali, Rushanara",4138,Labour,Treasury Sub-Committee,
"Ali, Rushanara",4138,Labour,Treasury Committee,
"Allan, Lucy",4411,Conservative,Education Committee,
"Allen, Heidi",4516,Conservative,Work and Pensions Committee,
"Allen, Heidi",4516,Conservative,Public Accounts Committee,
"Amesbury, Mike",4667,Labour,Communities and Local Government Committee,
"Amess, Sir David",44,Conservative,Panel of Chairs,
"Amess, Sir David",44,Conservative,Administration Committee,
"Antoniazzi, Tonia",4623,Labour,Welsh Affairs Committee,
"Austin, Ian",1511,Labour,Panel of Chairs,
"Austin, Ian",1511,Labour,Foreign Affairs Committee,
"Badenoch, Mrs Kemi",4597,Conservative,Justice Committee,
"Bailey, Mr Adrian",320,Labour,Panel of Chairs,
"Barron, Sir Kevin",392,Labour,Speaker's Committee for the Independent Parliamentary Standards Authority,
"Barron, Sir Kevin",392,Labour,Committee on Standards,"{'StartDate': '2017-07-12T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Barron, Sir Kevin",392,Labour,Committee on Privileges,
"Beckett, Margaret",328,Labour,National Security Strategy (Joint Committee),
"Bellingham, Sir Henry",1441,Conservative,Panel of Chairs,
"Benn, Hilary",413,Labour,Committee on Exiting the European Union,"{'StartDate': '2017-07-12T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Bercow, John",17,Speaker,Speaker's Committee on the Electoral Commission,"{'StartDate': '2017-06-14T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Bercow, John",17,Speaker,Speaker's Committee for the Independent Parliamentary Standards Authority,"{'StartDate': '2017-06-14T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Bercow, John",17,Speaker,Commons Reference Group on Representation and Inclusion,"{'StartDate': '2016-11-15T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Beresford, Sir Paul",103,Conservative,Administration Committee,
"Berger, Luciana",4036,Labour,Health Committee,
