Title,Purpose,Category,gid
All-Party Parliamentary Group for Afghanistan,To discuss the future of Afghanistan and provide a forum where all the aspects of the rebuilding of Afghanistan can be discussed in a constructive and non-confrontational manner.,Country Group,afghanistan
Africa All-Party Parliamentary Group,To raise the profile of African and pan-African issues in Parliament.,Country Group,africa
All-Party Parliamentary Group on the African Great Lakes Region,"To ensure the Great Lakes Region is on the political agenda of the UK Parliament and to strengthen UK policies addressing issues relating to conflict and peace building, human rights, democracy, good governance and economic development; to act as a channel for contacts with experts, NGOs and regional stakeholders.",Country Group,african-great-lakes-region
All-Party Parliamentary Group on Albania,To promote good relations between the parliaments and people of the UK and Albania.,Country Group,albania
Algeria All-Party Parliamentary Group,To maintain relations between the UK and Algeria.,Country Group,algeria
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Country Group,angola
British Argentine All-Party Parliamentary Group,To maintain relations between the two countries.,Country Group,argentina
All-Party Parliamentary Group on Armenia,To encourage links between the UK parliament and the Republic of Armenia. To increase awareness of that country in the UK parliament.,Country Group,armenia
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with Anzac politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country Group,australia-and-new-zealand
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Country Group,austria
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Country Group,azerbaijan
All-Party Parliamentary Group on the Bahamas,"To represent the Commonwealth of the Bahamas in Parliament as it is currently under represented, and to create more ties between our respective parliaments and parliamentarians.",Country Group,bahamas
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country Group,bahrain
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country Group,bangladesh
