Source,Description,"Value £s  In bands of £1,500",Received,Registered,gid
British and Irish Agencies Afghanistan Group,Secretariat  From : 06/07/2016  To : 06/07/2017,3001-4500,06/07/2016,14/07/2016,afghanistan
Royal African Society,Secretariat  From : 01/01/2016  To : 31/12/2016,31501-33000,01/01/2016,04/10/2016,africa
Chatham House,Secretariat  From : 01/01/2016  To : 31/12/2016,9001-10500,01/01/2016,21/07/2016,angola
Anglo Brazilian Society,Drinks reception,3001-4500,25/06/2016,19/07/2016,brazil
Anglo-Brazilian Society,Secretariat  From : 01/01/2016  To : 31/12/2016,3001-4500,01/01/2016,19/07/2016,brazil
States of Guernsey,Dinner held on 09/11/2015; dinner held on 29/02/2016; reception held on 27/06/2016,1501-3000,27/06/2016,06/07/2016,channel-islands
Hong Kong Economic & Trade Office,Lunch with Secretary for Commerce and Economic Development of Hong Kong,1501-3000,23/05/2016,21/06/2016,china
Hong Kong Economic & Trade Office,Visit to Hong Kong  From : 27/03/2016  To : 01/04/2016,12001-13500,27/03/2016,21/06/2016,china
Hong Kong Economic & Trade Office,Visit to Hong Kong  From : 09/01/2017  To : 13/01/2017,103501-105000,09/01/2017,13/02/2017,china
Hong Kong Association,APPCG-HKAS Annual Dinner,1501-3000,22/11/2016,13/03/2017,china
Institute of Directors City Branch,APPCG-IoD Annual Dinner,4501-6000,13/07/2016,13/03/2017,china
Egyptian Parliament,"Flights, accommodation and other transport for visit to Cairo and Sharm el Sheikh  From : 25/07/2016  To : 30/07/2016",10501-12000,25/07/2016,25/08/2016,egypt
Rolls Royce Plc,Flights and accommodation for visit to Berlin  From : 17/09/2016  To : 20/09/2016,9001-10500,17/09/2016,27/10/2016,germany
HM Government of Gibraltar,Secretariat  From : 23/07/2016  To : 22/07/2017,1501-3000,23/07/2016,25/08/2016,gibraltar
Indian High Commission/Government of India,Visit to India  From : 12/02/2017  To : 18/02/2017,31501-33000,12/02/2017,06/03/2017,india
Cedars Oak Ltd,Secretariat  From : 01/01/2016  To : 31/12/2016,31501-33000,01/01/2016,21/03/2016,israel
Israel Ministry of Foreign Affairs,Visit to Israel  From : 18/09/2016  To : 23/09/2016  Cost Met : Travel,4501-6000,18/09/2016,01/11/2016,israel
Cedars Oak Ltd,Visit to Israel  From : 18/09/2016  To : 23/09/2016  Cost Met : Accommodation and other sundry costs,15001-16500,18/09/2016,01/11/2016,israel
JAMPRO,Secretariat  From : 11/02/2016  To : 11/02/2017,7501-9000,11/02/2016,10/03/2016,jamaica
Council for Arab-British Understanding,Secretariat  From : 01/01/2016  To : 31/12/2016,4501-6000,01/01/2016,14/06/2016,jordan
Kar Group,Visit to Kurdistan Region of Iraq  From : 03/11/2016  To : 10/11/2016  Cost Met : Flights and accommodation,21001-22500,03/11/2016,24/11/2016,kurdistan-region-in-iraq
Kurdistan Regional Government,Visit to Kurdistan Region of Iraq  From : 03/11/2016  To : 10/11/2016  Cost Met : Internal transport and security,1501-3000,03/11/2016,24/11/2016,kurdistan-region-in-iraq
Gary Kent,Gary Kent is paid by Global Services (Iraq) to act as the APPG's secretariat  From : 01/11/2016  To : 30/04/2017,28501-30000,01/11/2016,24/01/2017,kurdistan-region-in-iraq
Canning House,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,21/06/2016,latin-america
Ministry of Foreign Affairs of the Republic of Maldives,Flights and accommodation for visit to Maldives  From : 23/07/2016  To : 29/07/2016,13501-15000,23/07/2016,22/08/2016,maldives
Chatham House,Secretariat  From : 01/01/2016  To : 31/12/2016,9001-10500,01/01/2016,21/07/2016,nigeria
Council for Arab-British Understanding,Secretariat  From : 01/01/2016  To : 31/12/2016,4501-6000,01/01/2016,15/09/2016,palestine
Council for Arab-British Understanding,Secretariat  From : 16/11/2016  To : 15/11/2017,4501-6000,16/11/2016,17/11/2016,qatar
Swiss Parliament,Ski passes,10501-12000,31/03/2016,10/06/2016,switzerland
Taipei Representative Office in the UK,Reception,3001-4500,24/05/2016,01/06/2016,taiwan
Taipei Representative Office in the UK,Reception,3001-4500,14/09/2016,20/09/2016,taiwan
Taipei Representative Office in the UK,"Visit to Taipei  From : 19/05/2016  To : 22/05/2016  Cost Met : Flights, internal travel, accommodation and hospitality",22501-24000,19/05/2016,20/09/2016,taiwan
Taipei Representative Office in the UK,"Visit to Taipei  From : 23/07/2016  To : 30/07/2016  Cost Met : Flights, internal travel, accommodation and hospitality",18001-19500,23/07/2016,20/09/2016,taiwan
Taipei Representative Office in the UK,"Flights, internal travel, accommodation and hospitality  From : 25/09/2016  To : 02/10/2016",30001-31500,25/09/2016,12/10/2016,taiwan
Taipei Representative Office in the UK,"Tea held on 19/10/2016, tea held on 27/10/2016, tea held on 14/11/2016 and dinner held on 15/11/2016",3001-4500,27/10/2016,22/11/2016,taiwan
Taipei Representative Office in the UK,Visit to Taipei  From : 08/04/2017  To : 15/04/2017,34501-36000,15/04/2017,28/04/2017,taiwan
Edge Foundation,Secretariat  From : 14/09/2016  To : 13/09/2017,1501-3000,14/09/2016,10/10/2016,14-19-education
Max Appeal,Secretariat  From : 23/06/2016  To : 22/06/2017,12001-13500,23/06/2016,24/10/2016,22q11-syndrome
NSPCC,Secretariat  From : 01/01/2016  To : 31/12/2016,3001-4500,01/01/2016,28/07/2016,abused-and-neglected-children
Lloyds Banking Group,Catering and room hire for event held on 6 July 2016,4501-6000,06/07/2016,25/04/2017,adult-education
Institutes for Adult Learning,Institutes for Adult Learning paid Warwick Universtity to prepare and publish a research report for APPG  From : 01/04/2016  To : 31/07/2016,28501-30000,31/07/2016,25/04/2017,adult-education
ADS Group,Breakfast meeting held on 26 October 2016,1501-3000,26/10/2016,26/10/2016,aerospace
ADS Group,Breakfast meeting held on 29 March 2017,1501-3000,29/03/2017,12/04/2017,aerospace
Age UK,Secretariat  From : 01/01/2016  To : 31/12/2016,4501-6000,01/01/2016,01/11/2016,ageing-and-older-people
University of Greenwich,Secretariat  From : 01/01/2016  To : 31/12/2016,40501-42000,01/01/2016,01/06/2016,agriculture-and-food-for-development
Ahmadiyya Muslim Community UK,Secretariat  From : 24/06/2015  To : 31/12/2015,1501-3000,24/06/2015,02/07/2015,ahmadiyya-muslim-community
Environmental Industries Commission,Secretariat  From : 26/04/2016  To : 26/04/2017,1501-3000,26/04/2016,17/05/2016,air-pollution
Alcohol Concern,Secretariat  From : 01/01/2016  To : 31/12/2016,10501-12000,01/01/2016,13/09/2016,alcohol-harm
National Allergy Strategic Group,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,26/10/2016,allergy
Chartered Institute of Arbitrators,Secretariat  From : 30/01/2017  To : 31/12/2017,1501-3000,01/01/2017,07/02/2017,alternative-dispute-resolution
Alternative Investment Management Association,Secretariat,49501-51000,11/01/2017,11/01/2018,alternative-investment-management
Centaurus Communications Ltd,Secretariat  From : 14/09/2016  To : 13/09/2017,13501-15000,13/09/2016,05/10/2016,alternative-lending
RSPCA,Funds the post of an administrator for the APPG  From : 01/01/2016  To : 31/12/2016,15001-16500,01/01/2016,26/06/2016,animal-welfare
The British Society for Antimicrobrial Chemotherapy,Secretariat  From : 08/06/2016  To : 07/06/2017,10501-12000,08/06/2016,21/06/2016,antibiotics
Independent Fetal Anti-Convulsant Trust (INFACT),Secretariat  From : 15/07/2015  To : 31/12/2015,1501-3000,15/07/2015,21/07/2015,anti-epileptic-drugs-in-pregnancy
Antisemitism Policy Trust (formerly called the Parliamentary Committee Against Antisemitism Foundation),Secretariat  From : 07/09/2016  To : 06/09/2017,40501-42000,07/09/2016,07/09/2016,antisemitism
Parliamentary Committee Against Antisemitism Foundation,"Flights, hotels, ground transportation/tour guiding and food for visit to Israel and Palestinian territories and Qatar  From : 02/01/2017  To : 06/01/2017",12001-13500,01/01/2017,10/01/2017,antisemitism
Parliamentary Committee Against Antisemitism Foundation,"Flights, hotels, ground transportation and food for visit to the Vatican, Italy  From : 19/03/2017  To : 20/03/2017",1501-3000,19/03/2017,21/03/2017,antisemitism
Connect Communications,"Connect Communications is paid by EAL, AAT, Battersea Power Station, BAE Systems Heathrow, Creative Tech Consortium, OCR, Microsoft, Carillion and British Gas to act as the APPG's secretariat  From : 30/06/2016  To : 30/06/2017",43501-45000,30/06/2016,20/10/2016,apprenticeships
Council for British Archaeology,Secretariat  From : 09/06/2015  To : 31/12/2015,1501-3000,09/06/2015,03/08/2015,archaeology
Archives and Records Association of UK & Ireland,Archives and Records Association of UK & Ireland is funded by UK National Archives to act as the APPG's secretariat  From : 01/01/2016  To : 31/12/2016,7501-9000,01/01/2016,11/10/2016,archives-and-history
McNeill & Stone,Secretariat  From : 29/11/2016  To : 28/11/2017,9001-10500,29/11/2016,29/11/2016,armed-forces-covenant
Arrhythmia Alliance,"Arrhythmia Alliance is paid by Boston Scientific Medtronic, iRhythm Technologies, and St Jude Medical to act as the group's secretariat  From : 26/01/2017  To : 26/01/2018",10501-12000,26/01/2017,22/02/2017,arrhythmias
National Society for Education in Art & Design,Secretariat  From : 01/01/2016  To : 31/12/2016,1501-3000,01/01/2016,12/07/2016,art-craft-and-design-in-education
Big Innovation Centre,"Big Innovation Centre is funded by Barclays, Deloitte, PwC, KPMG, Olswang, BP, and Oxford University to act as the group's secretariat  From : 23/01/2017  To : 22/01/2018",49501-51000,23/01/2017,02/02/2017,artificial-intelligence
King's College,Researcher's services for an Inquiry  From : 01/01/2016  To : 30/06/2017,24001-25500,01/01/2016,15/02/2016,arts-health-and-wellbeing
