Name,Party,gid
Mrs Madeleine Moon,Labour,afghanistan
James Gray,Conservative,afghanistan
Jessica Morden,Labour,afghanistan
Earl of Sandwich,Crossbench,afghanistan
Chi Onwurah,Labour,africa
Lord Steel of Aikwood,Liberal Democrat,africa
Lord Chidgey,Liberal Democrat,africa
Baroness Kinnock of Holyhead,Labour,africa
Lord Lea of Crondall,Labour,africa
Baroness Chalker of Wallasey,Conservative,africa
Lord Purvis of Tweed,Liberal Democrat,africa
Lord Oates,Liberal Democrat,africa
Baroness Northover,Liberal Democrat,africa
Lord McConnell of Glenscorrodale,Labour,africa
Anne McLaughlin,Scottish National Party,africa
Jeremy Lefroy,Conservative,africa
Pauline Latham,Conservative,africa
Patrick Grady,Scottish National Party,africa
Baroness Uddin,Non-affiliated,africa
John Mann,Labour,african-great-lakes-region
Pauline Latham,Conservative,african-great-lakes-region
Lord McConnell of Glenscorrodale,Labour,african-great-lakes-region
Lord Chidgey,Liberal Democrat,african-great-lakes-region
Mark Durkan,Social Democratic & Labour Party,african-great-lakes-region
Mrs Madeleine Moon,Labour,albania
Andy Slaughter,Labour,albania
Martin Vickers,Conservative,albania
Lord Bowness,Conservative,albania
Mark Menzies,Conservative,algeria
Lord Foulkes of Cumnock,Labour,algeria
Lord Kilclooney,Crossbench,algeria
Baroness Stern,Crossbench,algeria
David Morris,Conservative,algeria
Adam Holloway,Conservative,algeria
Chi Onwurah,Labour,angola
Lord Boateng,Labour,angola
Lord Cameron of Dillington,Crossbench,angola
Baroness Hooper,Conservative,angola
Lord Hughes of Woodside,Labour,angola
Baroness Northover,Liberal Democrat,angola
Bob Stewart,Conservative,angola
Mark Menzies,Conservative,argentina
Baroness Hooper,Conservative,argentina
Lord Faulkner of Worcester,Labour,argentina
Lord Kilclooney,Crossbench,argentina
Philip Boswell,Scottish National Party,argentina
Mark Pritchard,Conservative,argentina
Angus Brendan MacNeil,Scottish National Party,argentina
Stephen Pound,Labour,armenia
Baroness Hooper,Conservative,armenia
Mark Pritchard,Conservative,armenia
Bob Stewart,Conservative,armenia
Angus Brendan MacNeil,Scottish National Party,armenia
Ruth Cadbury,Labour,armenia
Andrew Rosindell,Conservative,australia-and-new-zealand
John Spellar,Labour,australia-and-new-zealand
Sir Paul Beresford,Conservative,australia-and-new-zealand
Mr Roger Godsiff,Labour,australia-and-new-zealand
Mr Nigel Dodds,Democratic Unionist Party,australia-and-new-zealand
Lord Balfe,Conservative,australia-and-new-zealand
Viscount Simon,Labour,australia-and-new-zealand
Baroness Golding,Labour,australia-and-new-zealand
Deidre Brock,Scottish National Party,australia-and-new-zealand
Lord Faulkner of Worcester,Labour,australia-and-new-zealand
Michelle Donelan,Conservative,australia-and-new-zealand
Sir Peter Bottomley,Conservative,austria
Lord Davies of Stamford,Labour,austria
Stuart Blair Donaldson,Scottish National Party,austria
Lord Oxburgh,Crossbench,austria
Baroness Rawlings,Conservative,austria
Lord Dubs,Labour,austria
Angus Robertson,Scottish National Party,austria
Bob Blackman,Conservative,azerbaijan
Mark Menzies,Conservative,azerbaijan
Angus Brendan MacNeil,Scottish National Party,azerbaijan
Baroness Manzoor,Conservative,azerbaijan
Lord Kilclooney,Crossbench,azerbaijan
Mr Roger Godsiff,Labour,azerbaijan
David Morris,Conservative,bahamas
Ian Paisley,Democratic Unionist Party,bahamas
Angus Brendan MacNeil,Scottish National Party,bahamas
Mr Stephen Hepburn,Labour,bahamas
Craig Williams,Conservative,bahamas
Mr Nigel Evans,Conservative,bahamas
Conor Burns,Conservative,bahrain
Baroness Uddin,Non-affiliated,bahrain
Lord Kilclooney,Crossbench,bahrain
Lord Snape,Labour,bahrain
Sir Kevin Barron,Labour,bahrain
Alistair Burt,Conservative,bahrain
Bob Stewart,Conservative,bahrain
Mrs Anne Main,Conservative,bangladesh
Jim Fitzpatrick,Labour,bangladesh
Mark Field,Conservative,bangladesh
Lord Sheikh,Conservative,bangladesh
Rushanara Ali,Labour,bangladesh
Jonathan Reynolds,Labour (Co-op),bangladesh
Paul Scully,Conservative,bangladesh
Simon Danczuk,Independent,bangladesh
Lord Ahmed,Non-affiliated,bangladesh
Mr John Whittingdale,Conservative,belarus
Wayne David,Labour,belarus
Lord Bowness,Conservative,belarus
Lord German,Liberal Democrat,belarus
Philip Davies,Conservative,belarus
Mrs Maria Miller,Conservative,belarus
Stephen Pound,Labour,belarus
Bob Stewart,Conservative,belize
Lord Foulkes of Cumnock,Labour,belize
Adam Holloway,Conservative,belize
Sir Alan Meale,Labour,belize
Steven Paterson,Scottish National Party,belize
Lord Rogan,Ulster Unionist Party,belize
Lord Kilclooney,Crossbench,belize
Lord Watts,Labour,belize
Karen Lumley,Conservative,bosnia-and-herzegovina
Bob Stewart,Conservative,bosnia-and-herzegovina
Lord Dubs,Labour,bosnia-and-herzegovina
Stephen Gethins,Scottish National Party,bosnia-and-herzegovina
Mark Pritchard,Conservative,bosnia-and-herzegovina
Mr Roger Godsiff,Labour,botswana
Andrew Rosindell,Conservative,botswana
Lord Jones of Cheltenham,Liberal Democrat,botswana
Lord Chidgey,Liberal Democrat,botswana
John Spellar,Labour,botswana
Lord Steel of Aikwood,Liberal Democrat,botswana
Baroness Barker,Liberal Democrat,botswana
Dr Paul Monaghan,Scottish National Party,botswana
Chris Stephens,Scottish National Party,botswana
Mr Laurence Robertson,Conservative,brazil
Lord Watts,Labour,brazil
John Spellar,Labour,brazil
Michael Dugher,Labour,brazil
Conor McGinn,Labour,brazil
Mr Roger Godsiff,Labour,brazil
Daniel Kawczynski,Conservative,brazil
Baroness Hooper,Conservative,brazil
Lord Alderdice,Liberal Democrat,brazil
Lord Purvis of Tweed,Liberal Democrat,brazil
Lord Kilclooney,Crossbench,brazil
