Received,Registered,Registrable benefits received by the group,Source,Value,gid
09/09/2015,21/06/2016,,Cambrige Assessment,10000,china
10/06/2016,21/06/2016,,Visit Britain,4500,china
09/05/2016,21/06/2016,,HSBC,10000,china
11/05/2016,21/06/2016,,Cambridge Assessment,10000,china
12/09/2016,13/03/2017,,John Swire & Sons,10000,china
27/10/2016,13/03/2017,,Arup,5000,china
23/02/2017,13/03/2017,,China Britain Business Council,4500,china
10/03/2017,13/03/2017,,VisitBritain,4500,china
06/03/2016,16/05/2016,,Hitachi Europe Limited,2000,japan
12/07/2016,18/07/2016,,Prince Albert II of Monaco Foundation,5000,polar-regions-arctic-and-antarctic
09/02/2017,15/02/2017,,Foundation Mamont,50000,polar-regions-arctic-and-antarctic
24/04/2017,27/04/2017,,Prince Albert II of Monaco Foundation,10000,polar-regions-arctic-and-antarctic
16/03/2017,27/04/2017,,Royal Norwegian Embassy,1581,polar-regions-arctic-and-antarctic
27/03/2017,13/04/2017,,Tearfund,2500,sudan-and-south-sudan
16/03/2017,13/04/2017,,Christian Aid,2500,sudan-and-south-sudan
06/03/2017,13/04/2017,,CAFOD,3000,sudan-and-south-sudan
13/07/2015,01/06/2016,,Agriculture for Impact,2000,agriculture-and-food-for-development
07/08/2015,01/06/2016,,SAB Miller,3000,agriculture-and-food-for-development
12/10/2015,01/06/2016,,Save the Children,2000,agriculture-and-food-for-development
25/02/2016,01/06/2016,,Concern Worldwide,2500,agriculture-and-food-for-development
29/03/2016,01/06/2016,,Christian Aid,5000,agriculture-and-food-for-development
15/04/2016,01/06/2016,,Oxfam,3000,agriculture-and-food-for-development
26/10/2016,03/11/2016,,The Small Foundation,3500,agriculture-and-food-for-development
16/01/2017,16/01/2017,,CABI,1750,agriculture-and-food-for-development
18/01/2017,24/01/2017,,Oxfam,3000,agriculture-and-food-for-development
20/01/2017,24/01/2017,,Christian Aid,5000,agriculture-and-food-for-development
21/02/2017,08/03/2017,,Farm Africa,2000,agriculture-and-food-for-development
06/03/2017,08/03/2017,,Christian Aid,5000,agriculture-and-food-for-development
07/04/2017,24/04/2017,,Concern Worldwide,2500,agriculture-and-food-for-development
01/02/2016,07/06/2016,,Real Farming Trust,5000,agroecology-for-sustainable-food-and-farming
16/02/2016,07/06/2016,,Sustainable Food Trust,3600,agroecology-for-sustainable-food-and-farming
17/01/2017,31/01/2017,,Real Farming Trust,20000,agroecology-for-sustainable-food-and-farming
12/12/2016,31/01/2017,,Lady Stratford,5161,agroecology-for-sustainable-food-and-farming
26/10/2015,03/06/2016,,Babcock International,7500,armed-forces
15/02/2016,03/06/2016,,CAE UK,3500,armed-forces
03/03/2016,03/06/2016,,CAE Aircrew Training Services,3500,armed-forces
15/04/2016,03/06/2016,,BAE Systems,7500,armed-forces
22/04/2016,03/06/2016,,Clarion Defence (UK),7000,armed-forces
31/05/2016,03/06/2016,,Finmeccanica UK,7500,armed-forces
10/03/2017,05/04/2017,,Leonardo,7500,armed-forces
10/03/2017,05/04/2017,,MBDA,7500,armed-forces
03/03/2017,05/04/2017,,Saab Technologies,7500,armed-forces
24/02/2017,05/04/2017,,Babcock International,7500,armed-forces
20/02/2017,05/04/2017,,Raytheon,7500,armed-forces
17/02/2017,05/04/2017,,Thales,7500,armed-forces
16/02/2017,05/04/2017,,Northrop Grumman,2500,armed-forces
13/02/2017,05/04/2017,,Boeing Defence,7500,armed-forces
10/02/2017,05/04/2017,,BAE Systems,7500,armed-forces
03/01/2017,05/04/2017,,HP Defence,2500,armed-forces
30/06/2016,05/07/2016,,Wellcome Trust,21247,arts-health-and-wellbeing
08/04/2016,06/07/2016,,Paul Hamlyn Foundation,10000,arts-health-and-wellbeing
31/03/2017,12/04/2017,,Wellcome Trust,17078,arts-health-and-wellbeing
31/03/2017,12/04/2017,,Paul Hamlyn Foundation,10000,arts-health-and-wellbeing
15/06/2016,03/07/2016,,Stonegate Pub Company,2755,beer
16/06/2016,03/07/2016,,Greene King,5725,beer
